,Mass,CHZ
0,0.3,0.1786644189019858
1,0.31,0.1839077212705515
2,0.32,0.18887916959065856
3,0.33,0.19364336768241164
4,0.34,0.1982510872269514
5,0.35000000000000003,0.2027141018225455
6,0.36000000000000004,0.20848594414071187
7,0.37000000000000005,0.214063167935734
8,0.38000000000000006,0.2194619020999235
9,0.39000000000000007,0.22469612066218903
10,0.4000000000000001,0.22977755167428077
11,0.4100000000000001,0.236580803868339
12,0.4200000000000001,0.24313946669158334
13,0.4300000000000001,0.24947336801359776
14,0.4400000000000001,0.25559653723224673
15,0.4500000000000001,0.2615312973718751
16,0.46000000000000013,0.2695364501991374
17,0.47000000000000014,0.2772350604948849
18,0.48000000000000015,0.2846498908492621
19,0.49000000000000016,0.29179763187720564
20,0.5000000000000002,0.2986936035126324
21,0.5100000000000002,0.30824161770644365
22,0.5200000000000002,0.3173977768941054
23,0.5300000000000002,0.3261653087305546
24,0.5400000000000003,0.3345839931678539
25,0.5500000000000003,0.3426313496238337
26,0.5600000000000003,0.35495976953366176
27,0.5700000000000003,0.36763577237579026
28,0.5800000000000003,0.3796561069879523
29,0.5900000000000003,0.3910273770488734
30,0.6000000000000003,0.4015881256467865
31,0.6100000000000003,0.4162698168365563
32,0.6200000000000003,0.43115229028105023
33,0.6300000000000003,0.4455257073429255
34,0.6400000000000003,0.458804184071706
35,0.6500000000000004,0.4706105418412727
36,0.6600000000000004,0.4865526793682958
37,0.6700000000000004,0.5029277903595232
38,0.6800000000000004,0.5189954412340673
39,0.6900000000000004,0.5341579524731236
40,0.7000000000000004,0.5472580364130393
41,0.7100000000000004,0.5640042849241185
42,0.7200000000000004,0.581642709692945
43,0.7300000000000004,0.5990760244432908
44,0.7400000000000004,0.6158960987679492
45,0.7500000000000004,0.630692709470365
46,0.7600000000000005,0.6479313217379831
47,0.7700000000000005,0.6664347006907193
48,0.7800000000000005,0.6848239009455802
49,0.7900000000000005,0.7025208669089944
50,0.8000000000000005,0.719168634279177
51,0.8100000000000005,0.7348370748152905
52,0.8200000000000005,0.749911007422447
53,0.8300000000000005,0.7681063332737503
54,0.8400000000000005,0.7867482576766834
55,0.8500000000000005,0.8045562163638529
56,0.8600000000000005,0.8276608574277858
57,0.8700000000000006,0.8498218815656802
58,0.8800000000000006,0.871066096980776
59,0.8900000000000006,0.8913895732063981
60,0.9000000000000006,0.9106379449150538
61,0.9100000000000006,0.9360440124702982
62,0.9200000000000006,0.9604416570207667
63,0.9300000000000006,0.9838423042160745
64,0.9400000000000006,1.0061681789705652
65,0.9500000000000006,1.0273932406982924
66,0.9600000000000006,1.0557051872031045
67,0.9700000000000006,1.0830030238678958
68,0.9800000000000006,1.1093671756936034
69,0.9900000000000007,1.1348676042799393
70,1.0000000000000007,1.1595656677612476
